Order Number,order_create_date,shipping_date,delivery_date,g_user_id,times_ordered,dateAndTime,Ship State,Ship Country,OrderSubtotal,OrderTax,OrderShippingCosts,OrderTotal,ShippingMethod,PHEShippingRush,initial,orderSC,returning1,returning2
7112366177,7/11/2023,7/12/2023,7/24/2023,{0004D7FF-DAA7-42CE-8C62-87E441B9600A},2,2023-07-19 11:11:00 PT,CA,US,80,6.9,8.99,95.89,Standard,0,WEBGEN1,WEBGEN1,,
7112366369,7/11/2023,7/12/2023,7/24/2023,{0004D7FF-DAA7-42CE-8C62-87E441B9600A},2,2023-07-19 11:10:00 PT,CA,US,80,6.9,8.99,95.89,Standard,0,WEBGEN1,WEBGEN1,,
7112366369,7/11/2023,7/12/2023,7/24/2023,{0004D7FF-DAA7-42CE-8C62-87E441B9600A},2,2023-07-19 11:10:00 PT,CA,US,42.5,3.99,8.99,55.48,Standard,0,WEBGEN1,WEBGEN1,,
6192365155,6/19/2023,6/21/2023,6/29/2023,{0004F509-58DA-4F79-AD86-EA9B6F8750C4},1,2023-06-26 13:23:00 ET,OH,US,39.99,3.18,8.99,52.16,Standard,0,XERBM347,XERBM347,,
6112390389,6/11/2023,6/12/2023,6/19/2023,{0004FBE0-36D8-43D7-8812-A4FAB87A6485},1,2023-06-15 15:30:00 ET,PA,US,29.22,2.29,8.99,40.5,Standard,0,NATGGL,NATGGL,,
6072365734,6/7/2023,6/8/2023,6/19/2023,{0005140B-5F1A-43E2-8DA1-A062E078BB10},1,2023-06-13 09:15:00 CT,IA,US,48.97,4.13,8.99,63.08,Standard,0.99,SEMGLVIB,SEMGLVIB,,
6212361713,6/21/2023,6/27/2023,7/5/2023,{0005342B-7DEB-46B2-BCB6-522E98C2E184},1,2023-06-30 10:39:00 ET,NY,US,39.99,4.18,8.99,56.4,Standard,0.99,SEMGLBRA,SEMGLBRA,,
6302360318,6/30/2023,6/30/2023,7/10/2023,{00053EF8-1C98-4A9E-833A-3DCCBBFE750F},1,2023-07-05 15:16:00 ET,MD,US,72.98,5.05,8.99,89.27,Standard,0,SEMGLBRA,OPTIN35R,WEBGEN1,OPTIN35R
6142362454,6/14/2023,7/20/2023,7/28/2023,{00054D9A-2AED-40C6-9B2B-68D8427B2196},1,2023-07-24 14:37:00 ET,NC,US,40.41,3.46,8.99,52.86,Standard,0,SEMGLSEX,OPTIN45R,OPTIN45R,
6142362454,6/14/2023,6/14/2023,6/22/2023,{00054D9A-2AED-40C6-9B2B-68D8427B2196},1,2023-06-17 11:31:00 ET,NC,US,40.41,3.46,8.99,52.86,Standard,0,SEMGLSEX,OPTIN45R,OPTIN45R,
6162361230,6/16/2023,6/18/2023,6/23/2023,{0005778D-5FC7-4A9E-8324-40906EC756EA},1,2023-06-22 12:32:00 ET,VA,US,46.44,3.52,8.99,62.19,Standard,0.99,LAZGF346,LAZGF346,LCZ3T344,LAZGF346
7022368399,7/2/2023,7/3/2023,7/11/2023,{00062ABD-4A63-491F-84E5-AD5559B2B95D},1,2023-07-07 12:12:00 ET,GA,US,42.48,4.38,8.99,59.09,Standard,0.99,SEMGLBRA,SEMGLBRA,,
7112364251,7/11/2023,7/12/2023,7/20/2023,{0006337F-B923-4697-98C2-04682E3E9652},1,2023-07-17 11:09:00 ET,OH,US,45,4.58,8.99,61.81,Standard,0.99,NATGGL,NATGGL,,
7112364251,7/11/2023,7/12/2023,7/20/2023,{0006337F-B923-4697-98C2-04682E3E9652},1,2023-07-17 11:09:00 ET,OH,US,80.89,8.09,16.99,109.21,2 Day Air,0.99,SEMGNIPP,SEMGNIPP,,
7072367111,7/7/2023,7/9/2023,7/17/2023,{0006A08C-8D56-4D87-9992-5F350120FB58},1,2023-07-13 16:39:00 CT,TN,US,17.03,2.5,8.99,29.51,Standard,0.99,XARBF349,XARBF349,,
7222362209,7/22/2023,7/24/2023,7/31/2023,{0006B345-6487-4DCD-A0EF-F46E8029C264},1,2023-07-27 11:52:00 ET,NC,US,49.72,4.11,8.99,62.82,Standard,0,BDZ3T350,Z22ABC1A,BCZSF351,Z22ABC1A
6162368232,6/16/2023,6/19/2023,6/29/2023,{0006BF43-1144-46BE-B26A-F7E6E09C8FF8},1,2023-06-26 11:06:00 CT,TX,US,81.96,7.54,8.99,101.73,Standard,0.99,SEMGLBRA,OPTIN45R,OPTIN45R,
7042361814,7/4/2023,7/5/2023,7/14/2023,{0006E47F-B041-4A67-AFDE-6DFA24A12707},1,2023-07-11 13:28:00 CT,IA,US,84.99,6.81,8.99,104.03,Standard,0.99,SEMGLSEX,WEBGEN1,WEBGEN1,
7112366250,7/11/2023,7/12/2023,7/25/2023,{00073B37-28AB-417C-8E4F-70CF43BCAF7B},2,2023-07-20 18:41:00 PT,CA,US,44.99,6.15,8.99,63.37,Standard,0.99,SEMGLBRA,SEMGLBRA,,
7112366250,7/11/2023,7/12/2023,7/25/2023,{00073B37-28AB-417C-8E4F-70CF43BCAF7B},2,2023-07-20 18:41:00 PT,CA,US,80.96,11.85,25.99,122.04,1 Day Air,0.99,XARBW348,WEBGEN1,WEBGEN1,
7112366250,7/11/2023,7/12/2023,7/25/2023,{00073B37-28AB-417C-8E4F-70CF43BCAF7B},2,2023-07-20 18:41:00 PT,CA,US,53.85,7.1,8.99,73.18,Standard,0.99,SEMGLBRA,SEMGLBRA,,
6172360462,6/17/2023,6/19/2023,6/22/2023,{000742D3-089B-4E6A-9908-F4048596948A},2,2023-06-22 18:37:00 ET,GA,US,25.46,3.16,12.99,42.6,Standard Test,0.99,SEMGLBRA,OPTIN45R,OPTIN45R,
6172360462,6/17/2023,6/19/2023,6/22/2023,{000742D3-089B-4E6A-9908-F4048596948A},2,2023-06-22 18:37:00 ET,GA,US,64.9,6.63,16.99,89.51,2 Day Air,0.99,SEMGLBRA,SEMGLBRA,,
6162362161,6/16/2023,6/18/2023,6/27/2023,{0007663B-F866-4158-90C0-5F30AB3C72E7},1,2023-06-23 11:41:00 CT,WI,US,21.99,1.7,8.99,32.68,Standard,0,NATBING,NATBING,NATBING,NATBING
7092362082,7/9/2023,7/9/2023,7/14/2023,{00078289-BD9A-45D4-8A19-C1058CA55B16},1,2023-07-12 11:54:00 ET,NJ,US,20.99,1.46,0,23.44,Standard,0.99,SEMGLUB,RMN50FS,,
7232367060,7/23/2023,7/24/2023,8/1/2023,{000826E6-88A4-4A19-AD32-ADE984681EF9},1,2023-07-28 11:54:00 ET,GA,US,62.99,5.27,8.99,80.49,Standard,0.99,XARPT351,XALS352,WEBGEN1,XARPS352
6262363723,6/26/2023,6/26/2023,6/30/2023,{00083F35-081D-4440-A09E-5CC035EC6F7A},1,2023-06-29 12:39:00 CT,MO,US,66.38,5.37,12.99,87.98,Standard Test,0.99,FCAFFL,FCAFFL,,
6172367805,6/17/2023,6/19/2023,6/27/2023,{000852E1-F879-4D1E-B562-26769043CF6F},1,2023-06-22 12:40:00 CT,FL,US,16.49,2.01,8.99,30.73,Standard,0.99,SEMGLBRA,SEMGLBRA,,
7132360601,7/13/2023,7/13/2023,7/20/2023,{00086517-9D1A-474E-95AE-F81A20484B26},1,2023-07-17 16:07:00 ET,FL,US,35,3.08,8.99,47.07,Standard,0,SEMGLSEX,SEMGLSEX,,
6102360549,6/10/2023,6/11/2023,6/19/2023,{00089D08-6B8F-43B4-BFEC-9013F918C9C8},1,2023-06-15 15:21:00 ET,MI,US,19.22,1.89,8.99,33.34,Standard,0.99,PCZSS345,PAZCX345,PAZCX345,
6032361845,6/3/2023,6/5/2023,6/15/2023,{0008A99F-50A0-4E13-A8ED-CBC6F3B2DEED},1,2023-06-13 12:16:00 PT,CA,US,16.47,2.23,8.99,27.69,Standard,0,SEMGLVIB,SEMGLVIB,,
6212363972,6/21/2023,6/22/2023,7/5/2023,{0008C4F8-AD8D-49C7-B326-8F35382A1961},2,2023-06-28 12:03:00 PT,ID,US,13,0.78,0,13.78,Standard,0,AFFILIAT,FIR50,,
6212364306,6/21/2023,6/22/2023,7/5/2023,{0008C4F8-AD8D-49C7-B326-8F35382A1961},2,2023-06-28 12:03:00 PT,ID,US,13,0.78,0,13.78,Standard,0,AFFILIAT,FIR50,,
6212363972,6/21/2023,6/22/2023,7/5/2023,{0008C4F8-AD8D-49C7-B326-8F35382A1961},2,2023-06-28 12:03:00 PT,ID,US,34.98,2.1,0,37.08,Standard,0,SEMGLBRA,FIR50,SEMGLBRA,SEMGLBRA
6212364306,6/21/2023,6/22/2023,7/5/2023,{0008C4F8-AD8D-49C7-B326-8F35382A1961},2,2023-06-28 12:03:00 PT,ID,US,34.98,2.1,0,37.08,Standard,0,SEMGLBRA,FIR50,SEMGLBRA,SEMGLBRA
6212363972,6/21/2023,6/22/2023,7/5/2023,{0008C4F8-AD8D-49C7-B326-8F35382A1961},2,2023-06-28 12:03:00 PT,ID,US,35,2.1,0,37.1,Standard,0,WEBGEN1,FIR50,SEMGLBRA,
6212364306,6/21/2023,6/22/2023,7/5/2023,{0008C4F8-AD8D-49C7-B326-8F35382A1961},2,2023-06-28 12:03:00 PT,ID,US,35,2.1,0,37.1,Standard,0,WEBGEN1,FIR50,SEMGLBRA,
6212363972,6/21/2023,6/22/2023,7/5/2023,{0008C4F8-AD8D-49C7-B326-8F35382A1961},2,2023-06-28 12:03:00 PT,ID,US,16,0.96,0,16.96,Standard,0,WEBGEN1,FIR50,,
6212364306,6/21/2023,6/22/2023,7/5/2023,{0008C4F8-AD8D-49C7-B326-8F35382A1961},2,2023-06-28 12:03:00 PT,ID,US,16,0.96,0,16.96,Standard,0,WEBGEN1,FIR50,,
7072366663,7/7/2023,7/9/2023,7/13/2023,{0008C6AE-C958-44B5-B8C0-2D0090B1EDFB},2,2023-07-13 13:07:00 MT,CO,US,97.49,8.98,12.99,122.7,Standard Test,0.99,SEMGLBRA,Z22ABB2T,WEBGEN1,Z22ABB2T
7232360622,7/23/2023,7/24/2023,8/3/2023,{000933F5-A9CE-4D50-85D2-2643C94BD5A0},1,2023-07-31 15:00:00 MT,AZ,US,30,2.13,0,32.13,Standard,0,TWEET,TWEET,,
7022364307,7/2/2023,7/3/2023,7/11/2023,{0009740F-F77F-4F3F-AE83-CC432BF7D903},1,2023-07-07 14:43:00 ET,GA,US,20,2.58,8.99,34.81,Standard,0.99,SEMGLBRA,SEMGLBRA,,
6102364887,6/10/2023,6/11/2023,6/16/2023,{0009805A-BDB7-4E7C-BDA9-E4737102B374},1,2023-06-14 12:52:00 ET,MD,US,38.47,2.85,8.99,50.31,Standard,0,SEMGLDSA,XW2245A,XW2245A,
6242363856,6/24/2023,6/26/2023,7/6/2023,{0009AB27-C11B-482C-B17E-78DC4CE30B75},1,2023-06-30 11:27:00 ET,NY,US,79.99,7.12,8.99,96.1,Standard,0,SEMGGEN,SEMGGEN,,
6052363890,6/5/2023,6/6/2023,6/19/2023,{0009AEE6-9CDB-4D1E-B0FE-ACC91505F2CB},1,2023-06-10 15:46:00 CT,TX,US,34.98,3.7,8.99,49.92,Standard,0,SEMGLVIB,XARSP345,OPTIN45R,XARSP345
6182366368,6/18/2023,6/20/2023,6/28/2023,{000A1E50-EC68-40F4-A97E-EF15F2B087C2},1,2023-06-26 10:15:00 ET,RI,US,32.99,3.17,8.99,48.39,Standard,0.99,SEMGLBRA,XW2245A,XW2245A,
7032355005,7/3/2023,7/7/2023,7/17/2023,{000A21FD-C269-4AA9-AAD0-A7D461E4A18E},2,2023-07-11 12:23:00 CT,TN,US,57.56,6.16,8.99,72.71,Standard,0,XARPF346,XARPM348,WEBGEN1,XARPM348
6262365637,6/26/2023,6/27/2023,7/6/2023,{000A21FD-C269-4AA9-AAD0-A7D461E4A18E},2,2023-06-30 13:14:00 CT,TN,US,57.56,6.16,8.99,72.71,Standard,0,XARPF346,XARPM348,WEBGEN1,XARPM348
5152365340,5/15/2023,6/7/2023,6/19/2023,{000A68AD-30DF-48DE-83C3-B09C96F25820},1,2023-06-13 07:50:00 PT,WA,US,34.9,4.91,16.99,60.04,Priority Mail,0.99,SEMGLBRA,SEMGLBRA,,
5152365340,5/15/2023,6/7/2023,6/19/2023,{000A68AD-30DF-48DE-83C3-B09C96F25820},1,2023-06-13 07:50:00 PT,WA,US,24.95,3.67,12.99,44.85,Standard Test,0.99,SEMGLBRA,SEMGLBRA,,
6212362417,6/21/2023,6/21/2023,6/28/2023,{000AA129-03DB-443B-A3E2-5305A36DD754},1,2023-06-24 10:34:00 ET,VA,US,204.98,13.54,8.99,228.5,Standard,0.99,LAZOW347,LAZOW347,,
6182367659,6/18/2023,6/19/2023,6/29/2023,{000AA489-E12A-4D3D-BA6E-421C86121BC7},1,2023-06-26 15:06:00 PT,CA,US,33.94,3.58,8.99,49.75,Standard,0.99,SEMNBTST,SEMNBTST,,
6302363806,6/30/2023,6/30/2023,7/7/2023,{000AC0BD-C25E-478C-894F-13CAA51C0171},1,2023-07-05 14:20:00 MT,UT,US,29.99,0,12.99,42.98,Standard Test,0,WEBGEN1,WEBGEN1,,
6252365777,6/25/2023,6/26/2023,7/7/2023,{000AF7AA-DD5B-4612-AD12-3446E9BF91C0},1,2023-07-01 14:27:00 CT,TX,US,20.98,2.48,8.99,33.44,Standard,0.99,XARPS348,XARPS348,,
7052363107,7/5/2023,7/6/2023,7/14/2023,{000B6F8D-A0FB-48F3-88D1-CD8D9E0785F8},1,2023-07-11 11:37:00 ET,GA,US,35,3.78,8.99,51.01,Standard,0.99,WEBGEN1,EMPREF50,EMPREF50,
7132366478,7/13/2023,7/14/2023,7/21/2023,{000B876F-F050-4B3D-8A72-5C03D599474B},1,2023-07-18 17:54:00 ET,MD,US,45,2.89,0,51.13,Standard,0.99,NATGGL,CAPITAL,XERPW350,NATGGL
7072360830,7/7/2023,7/7/2023,7/20/2023,{000B998B-F5F4-4439-A5CC-9E1DD57EAC8C},1,2023-07-15 08:54:00 CT,TX,US,10.99,1.86,8.99,25.08,Standard,0.99,SEMNBTST,SEMGLUB,SEMGLUB,
7072367343,7/7/2023,7/9/2023,7/20/2023,{000C1BC7-D5B3-4E73-AEA2-D8D9204B99C8},1,2023-07-15 14:40:00 CT,KS,US,13.74,1.95,8.99,27.92,Standard,0.99,LCZ3F349,LCZ3F349,,
6142367921,6/14/2023,6/15/2023,6/26/2023,{000C5A18-9AA1-4E4C-8FB6-2C875135B6C0},1,2023-06-21 08:55:00 CT,MS,US,7.99,1.19,8.99,18.17,Standard,0,SEMGLBRA,WEBGEN1,WEBGEN1,
6112364220,6/11/2023,6/12/2023,6/20/2023,{000CA6DF-1F2C-49EF-BB1F-D6F4EDC89937},1,2023-06-15 10:53:00 ET,IN,US,17.95,2.11,8.99,32.29,Standard,0.99,SEMGLBRA,WEBGEN1,WEBGEN1,WEBGEN1
7102368092,7/10/2023,7/11/2023,7/14/2023,{000CB087-9A3E-4D19-8D33-F8347E5905B6},1,2023-07-14 14:36:00 ET,MI,US,33.73,3,12.99,52.96,Standard Test,0.99,XARPS350,XARPM350,XARPT349,XARPM350
6202361205,6/20/2023,6/20/2023,6/23/2023,{000CBF97-A386-4699-9A9F-F6A8C3E2CA2C},1,6/23/2023 14:21,AK,US,71.33,0,0,73.58,Standard,0,BCZSF346,BAZXM347,WEBGEN1,BAZXM347
6062361911,6/6/2023,6/7/2023,6/20/2023,{000CD921-FE12-4F9A-B075-B4A57E03F8C3},1,2023-06-28 07:24:00 MT,CO,US,23.31,3.38,8.99,38.92,Standard,0.99,XWEL35P1,XWEL35P1,,
6192369690,6/19/2023,6/20/2023,6/28/2023,{000CEF11-FEF6-438F-95CC-A81DBA074285},1,2023-06-26 16:05:00 ET,OH,US,25.82,2.5,8.99,39.56,Standard,0,SEMGLVIB,OPTIN45R,OPTIN45R,
7252365102,7/25/2023,7/26/2023,8/3/2023,{000D1D36-8350-4013-BA06-8242670865B9},2,2023-07-29 12:32:00 CT,IL,US,63.69,4.75,8.99,80.67,Standard,0.99,SEMGLBRA,OPT236C1,OPT236C1,
7252365102,7/25/2023,7/26/2023,8/3/2023,{000D1D36-8350-4013-BA06-8242670865B9},2,2023-07-29 12:32:00 CT,IL,US,30,2.08,0,35.32,Standard,0.99,WEBGEN1,ADAM,,
7082366966,7/8/2023,7/10/2023,7/18/2023,{000D1D36-8350-4013-BA06-8242670865B9},2,2023-07-15 12:42:00 CT,IL,US,30,2.08,0,35.32,Standard,0.99,WEBGEN1,ADAM,,
7082366966,7/8/2023,7/10/2023,7/18/2023,{000D1D36-8350-4013-BA06-8242670865B9},2,2023-07-15 12:42:00 CT,IL,US,63.69,4.75,8.99,80.67,Standard,0.99,SEMGLBRA,OPT236C1,OPT236C1,
