Order Number,Ship State,Ship Country,order_create_date,shipping_date,delivery_date,g_user_id,dateAndTime,times_ordered
7012363934,CO,US,7/1/2023,7/3/2023,7/13/2023,{01CD5506-7C5D-4E8A-B05F-EC3A81235984},2023-07-12 14:19:00 MT,1
7232360315,FL,US,7/23/2023,7/23/2023,7/28/2023,{01CD1177-ED57-4C9B-AEA9-CA750E0C42BA},2023-07-27 13:15:00 ET,1
6082365657,FL,US,6/8/2023,6/9/2023,6/16/2023,{01CCF8B2-827E-48AD-8B36-6BB3D33EE609},2023-06-13 16:01:00 ET,1
7232368453,IN,US,7/23/2023,7/24/2023,8/1/2023,{01CCE57B-83B1-45C8-BAEC-0FB45B2F5E16},2023-07-28 13:14:00 CT,1
7062365165,SC,US,7/6/2023,7/7/2023,7/17/2023,{01CC5148-0934-44C6-8645-8D8E30F56B79},2023-07-11 13:41:00 ET,1
7182360005,KS,US,7/18/2023,7/18/2023,8/1/2023,{01CC469F-8866-4C97-9220-441280A52094},2023-07-24 13:05:00 CT,2
6252390678,KS,US,6/25/2023,6/26/2023,7/10/2023,{01CC469F-8866-4C97-9220-441280A52094},2023-06-30 09:35:00 CT,2
7152362258,NY,US,7/15/2023,7/24/2023,8/1/2023,{01CC3B9F-DC2F-43BD-8640-5AC624CCE564},2023-07-27 15:08:00 ET,1
7152366678,PA,US,7/15/2023,7/16/2023,7/24/2023,{01CBED2E-037E-4CD3-9491-CAC515F090B5},2023-07-20 11:10:00 ET,1
6292362884,MA,US,6/29/2023,6/30/2023,7/11/2023,{01CBC3F5-1A44-4E43-A8EE-EA4D124DA306},2023-07-07 10:45:00 ET,1
5172361663,CA,US,5/17/2023,6/14/2023,6/26/2023,{01CB7C2B-B2D1-4D75-AE4C-05D228F2F584},2023-06-21 10:12:00 PT,1
6292360505,MN,US,6/29/2023,6/29/2023,7/6/2023,{01CB2D4F-D85B-42AD-B82F-9304547408F5},2023-07-03 12:58:00 CT,1
6252365327,OH,US,6/25/2023,6/26/2023,7/5/2023,{01CAA59C-DAE4-492C-9D18-F79C281903BB},2023-06-29 17:17:00 ET,1
6152360213,WV,US,6/15/2023,6/15/2023,6/23/2023,{01CA6A17-2ABB-4461-A40C-F8DAEC4DBCA2},2023-06-20 13:54:00 ET,2
6042360513,WV,US,6/4/2023,6/5/2023,6/13/2023,{01CA6A17-2ABB-4461-A40C-F8DAEC4DBCA2},2023-06-08 13:55:00 ET,2
6292363956,NY,US,6/29/2023,6/30/2023,7/11/2023,{01CA5B63-63B7-499D-8A90-00157BF5B6CA},2023-07-07 16:19:00 ET,1
